table_name,tier,exists_flag,object_type,row_count,min_trade_date,max_trade_date,distinct_trade_days,expected_key_columns,missing_key_columns,latest_lag_days,null_rate_summary,status,severity,recommendation
cn_stock_daily_price,P0_CRITICAL,Y,BASE TABLE,16733535,2000-01-04,2026-05-15,6386,"SYMBOL, TRADE_DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, AMOUNT, CHG_PCT",,-45,SYMBOL=0.0%; TRADE_DATE=0.0%; OPEN=0.0%; HIGH=0.0%; LOW=0.0%; CLOSE=0.0%; VOLUME=0.0%; AMOUNT=0.0%; CHG_PCT=0.00%,OK,CRITICAL,Table is healthy and up-to-date.
cn_index_daily_price,P0_CRITICAL,Y,BASE TABLE,29239,2010-01-04,2026-05-15,3971,"INDEX_CODE, TRADE_DATE, OPEN, CLOSE, HIGH, LOW, VOLUME, AMOUNT, PRE_CLOSE, CHG_PCT",,-45,INDEX_CODE=0.0%; TRADE_DATE=0.0%; OPEN=0.00%; CLOSE=0.0%; HIGH=0.00%; LOW=0.00%; VOLUME=0.0%; AMOUNT=0.0%; PRE_CLOSE=0.06%; CHG_PCT=0.00%,OK,CRITICAL,Table is healthy and up-to-date.
cn_sw_industry_daily,P0_CRITICAL,Y,VIEW,102307,2009-10-29,2026-05-15,4017,"ts_code, name, trade_date, close, amount",,-45,ts_code=0.0%; name=0.0%; trade_date=0.0%; close=0.0%; amount=0.0%,OK,CRITICAL,Table is healthy and up-to-date.
cn_stock_monthly_basic,P0_CRITICAL,Y,BASE TABLE,743300,2008-01-31,2026-05-15,225,"symbol, trade_date, month_key, total_mv, circ_mv, pe_ttm, pb",,-45,symbol=0.0%; trade_date=0.0%; month_key=0.0%; total_mv=0.0%; circ_mv=0.0%; pe_ttm=17.16%; pb=0.77%,OK,CRITICAL,Table is healthy and up-to-date.
cn_stock_fina_indicator,P0_CRITICAL,Y,BASE TABLE,255045,2008-03-31,2026-03-31,95,"symbol, end_date, ann_date, report_type, netprofit_yoy, q_profit_yoy, or_yoy, eps, roe, grossprofit_margin",,0,symbol=0.0%; end_date=0.0%; ann_date=0.00%; report_type=100.00%; netprofit_yoy=4.97%; q_profit_yoy=11.91%; or_yoy=5.27%; eps=4.33%; roe=1.74%; grossprofit_margin=3.04%,WARN,CRITICAL,High null rates on key columns: report_type=100.0%.
cn_stock_daily_basic,P1_IMPORTANT,Y,BASE TABLE,16808419,2000-01-04,2026-05-06,6379,"symbol, trade_date, pe_ttm, pb, total_mv, circ_mv, volume_ratio",,-36,symbol=0.0%; trade_date=0.0%; pe_ttm=16.55%; pb=0.88%; total_mv=0.0%; circ_mv=0.0%; volume_ratio=0.19%,OK,WARN,Table is healthy and up-to-date.
cn_stock_leader_score_daily,P1_IMPORTANT,Y,BASE TABLE,11938438,2010-01-04,2026-04-30,3960,"trade_date, symbol, leader_score, leader_bucket",,-30,trade_date=0.0%; symbol=0.0%; leader_score=0.0%; leader_bucket=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_stock_leader_sw_l1_latest_snap,P1_IMPORTANT,Y,VIEW,13257,2010-12-31,2026-04-30,10,"trade_date, symbol, leader_score, sw_l1_id",,-30,trade_date=0.0%; symbol=0.0%; leader_score=0.0%; sw_l1_id=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_stock_universe_status_t,P1_IMPORTANT,Y,BASE TABLE,6186,2001-04-13,2026-05-15,259,"symbol, is_active, last_trade_date",,-45,symbol=0.0%; is_active=0.0%; last_trade_date=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_board_member_map_d,P2_STRUCTURE,Y,BASE TABLE,29237705,2000-01-04,2026-05-15,6386,"trade_date, sector_type, sector_id, symbol",,-45,trade_date=0.0%; sector_type=0.0%; sector_id=0.0%; symbol=0.0%,OK,WARN,Table is healthy and up-to-date.
cn_local_industry_map_hist,P2_STRUCTURE,Y,BASE TABLE,5195,1991-01-29,2026-04-17,2070,"symbol, industry_id, in_date, out_date, is_current",is_current,-17,symbol=0.0%; industry_id=0.0%; in_date=0.0%; out_date=0.0%,MISSING_COLUMNS,WARN,Missing key columns: is_current.
cn_local_industry_proxy_daily,P2_STRUCTURE,Y,BASE TABLE,111379,2010-01-04,2026-04-29,3947,"industry_id, trade_date, member_count, ret_eqw, amount_total",,-29,industry_id=0.0%; trade_date=0.0%; member_count=0.0%; ret_eqw=0.0%; amount_total=100.00%,WARN,WARN,High null rates on key columns: amount_total=100.0%.
cn_stock_income,P3_REPORTING,Y,BASE TABLE,287061,1996-12-31,2026-03-31,97,"symbol, end_date, ann_date, report_type, total_revenue, n_income_attr_p",,0,symbol=0.0%; end_date=0.0%; ann_date=0.0%; report_type=0.0%; total_revenue=0.24%; n_income_attr_p=0.09%,OK,INFO,Table is healthy and up-to-date.
cn_stock_balancesheet,P3_REPORTING,Y,BASE TABLE,263774,2001-12-31,2026-03-31,77,"symbol, end_date, ann_date, report_type, total_assets, total_liab",,0,symbol=0.0%; end_date=0.0%; ann_date=0.0%; report_type=0.0%; total_assets=0.01%; total_liab=0.15%,OK,INFO,Table is healthy and up-to-date.
cn_event_disclosure_date,P3_REPORTING,Y,BASE TABLE,582341,2006-03-31,2026-03-31,81,"symbol, end_date, pre_date, actual_date",,0,symbol=0.0%; end_date=0.0%; pre_date=1.15%; actual_date=1.60%,OK,INFO,Table is healthy and up-to-date.
cn_event_earnings_forecast,P3_REPORTING,Y,BASE TABLE,283659,2006-01-04,2026-05-15,4731,"symbol, ann_date, end_date, forecast_type, p_change_min, p_change_max",,-45,symbol=0.0%; ann_date=0.0%; end_date=0.0%; forecast_type=0.0%; p_change_min=8.00%; p_change_max=9.37%,OK,INFO,Table is healthy and up-to-date.
cn_ga_mainline_radar_daily,GA_LAYER,Y,BASE TABLE,437845,2010-01-04,2026-04-30,1773,"trade_date, mainline_id, mainline_name, member_count, leader_count, mainline_score, mainline_state, rank_no, reason",,-30,trade_date=0.0%; mainline_id=0.0%; mainline_name=0.0%; member_count=0.0%; leader_count=0.0%; mainline_score=0.0%; mainline_state=0.0%; rank_no=0.0%; reason=0.0%,OK,INFO,Table is healthy and up-to-date.
cn_ga_market_pulse_daily,GA_LAYER,Y,BASE TABLE,1776,2010-01-04,2026-04-30,1776,"trade_date, market_score, market_state, target_exposure, breadth_up_ratio, risk_flag, reason",,-30,trade_date=0.0%; market_score=0.0%; market_state=0.0%; target_exposure=0.0%; breadth_up_ratio=0.0%; risk_flag=2.98%; reason=0.0%,OK,INFO,Table is healthy and up-to-date.
cn_ga_stock_role_map_daily,GA_LAYER,Y,BASE TABLE,3969290,2010-01-04,2026-02-27,1700,"trade_date, symbol, stock_name, mainline_id, mainline_name, leader_score, stock_role, role_score, role_reason",,32,trade_date=0.0%; symbol=0.0%; stock_name=99.91%; mainline_id=0.0%; mainline_name=0.0%; leader_score=0.0%; stock_role=0.0%; role_score=0.0%; role_reason=0.0%,STALE,INFO,Latest data is 32 days behind as-of date (threshold: 5d).
cn_ga_data_readiness_daily,GA_LAYER,Y,BASE TABLE,5,2026-04-30,2026-04-30,1,"trade_date, table_name, status, severity, row_count, max_trade_date, null_rate_summary","trade_date, severity, null_rate_summary",-30,table_name=0.0%; status=0.0%; row_count=0.0%; max_trade_date=0.0%,MISSING_COLUMNS,INFO,"Missing key columns: trade_date, severity, null_rate_summary."
